"Part";"Value";"Device";"Package";"Description";"DIGI-NO";"MAG-STOCK";"MATE";
"D1";"D-SMA-1A";"DIODESMA";"SMA";"Diode";"";"YES";"";
"D2";"D-SMA-1A";"DIODESMA";"SMA";"Diode";"";"YES";"";
"D3";"D-SMA-1A";"DIODESMA";"SMA";"Diode";"";"YES";"";
"D4";"D-SMA-1A";"DIODESMA";"SMA";"Diode";"";"YES";"";
"LED1";"RED";"LEDGREEN";"LED1206";"LED";"";"YES";"";
"LED2";"RED";"LEDGREEN";"LED1206";"LED";"";"YES";"";
"LED3";"RED";"LEDGREEN";"LED1206";"LED";"";"YES";"";
"LED4";"RED";"LEDGREEN";"LED1206";"LED";"";"YES";"";
"LED5";"RED";"LEDGREEN";"LED1206";"LED";"";"YES";"";
"LED6";"RED";"LEDGREEN";"LED1206";"LED";"";"YES";"";
"LED7";"RED";"LEDGREEN";"LED1206";"LED";"";"YES";"";
"LED8";"RED";"LEDGREEN";"LED1206";"LED";"";"YES";"";
"LED9";"RED";"LEDGREEN";"LED1206";"LED";"";"YES";"";
"LED10";"RED";"LEDGREEN";"LED1206";"LED";"";"YES";"";
"LED11";"RED";"LEDGREEN";"LED1206";"LED";"";"YES";"";
"Q12";"2N3904";"MMBT4401";"SOT-23";"NPN Transistor";"";"YES";"";
"Q13";"2N3904";"MMBT4401";"SOT-23";"NPN Transistor";"";"YES";"";
"Q14";"2N3904";"MMBT4401";"SOT-23";"NPN Transistor";"";"YES";"";
"Q15";"2N3904";"MMBT4401";"SOT-23";"NPN Transistor";"";"YES";"";
"Q16";"2N3904";"MMBT4401";"SOT-23";"NPN Transistor";"";"YES";"";
"Q17";"2N3904";"MMBT4401";"SOT-23";"NPN Transistor";"";"YES";"";
"Q18";"2N3904";"MMBT4401";"SOT-23";"NPN Transistor";"";"YES";"";
"Q19";"2N3904";"MMBT4401";"SOT-23";"NPN Transistor";"";"YES";"";
"Q20";"2N3904";"MMBT4401";"SOT-23";"NPN Transistor";"";"YES";"";
"Q21";"2N3904";"MMBT4401";"SOT-23";"NPN Transistor";"";"YES";"";
"Q22";"2N3904";"MMBT4401";"SOT-23";"NPN Transistor";"";"YES";"";
"R1";"523";"RESISTOR0805";"R0805";"";"311-523CRCT-ND";"NO";"";
"R2";"523";"RESISTOR0805";"R0805";"";"311-523CRCT-ND";"NO";"";
"R3";"523";"RESISTOR0805";"R0805";"";"311-523CRCT-ND";"NO";"";
"R4";"523";"RESISTOR0805";"R0805";"";"311-523CRCT-ND";"NO";"";
"R5";"523";"RESISTOR0805";"R0805";"";"311-523CRCT-ND";"NO";"";
"R6";"523";"RESISTOR0805";"R0805";"";"311-523CRCT-ND";"NO";"";
"R7";"523";"RESISTOR0805";"R0805";"";"311-523CRCT-ND";"NO";"";
"R8";"523";"RESISTOR0805";"R0805";"";"311-523CRCT-ND";"NO";"";
"R9";"523";"RESISTOR0805";"R0805";"";"311-523CRCT-ND";"NO";"";
"R10";"523";"RESISTOR0805";"R0805";"";"311-523CRCT-ND";"NO";"";
"R11";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R12";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R13";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R14";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R15";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R16";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R17";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R18";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R19";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R20";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R21";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R22";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R23";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R24";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R25";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R26";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R27";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R28";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R29";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R30";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R31";"523";"RESISTOR0805";"R0805";"";"311-523CRCT-ND";"NO";"";
"R32";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R33";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R34";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R35";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R36";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R37";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R38";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R39";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R40";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R41";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R42";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R43";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R44";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R45";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R46";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R47";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R48";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R49";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R50";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R51";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R52";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R53";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R54";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R55";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"T1";"2N3906";"-PNP-";"SOT223";"PNP Transistror";"";"YES";"";
"T2";"2N3906";"-PNP-";"SOT223";"PNP Transistror";"";"YES";"";
"T3";"2N3906";"-PNP-";"SOT223";"PNP Transistror";"";"YES";"";
"T4";"2N3906";"-PNP-";"SOT223";"PNP Transistror";"";"YES";"";
"T5";"2N3906";"-PNP-";"SOT223";"PNP Transistror";"";"YES";"";
"T6";"2N3906";"-PNP-";"SOT223";"PNP Transistror";"";"YES";"";
"T7";"2N3906";"-PNP-";"SOT223";"PNP Transistror";"";"YES";"";
"T8";"2N3906";"-PNP-";"SOT223";"PNP Transistror";"";"YES";"";
"T9";"2N3906";"-PNP-";"SOT223";"PNP Transistror";"";"YES";"";
"T10";"2N3906";"-PNP-";"SOT223";"PNP Transistror";"";"YES";"";
"T11";"2N3906";"-PNP-";"SOT223";"PNP Transistror";"";"YES";"";
"U$1";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"";"A114501-ND";"NO";"A98223-ND";
"U$2";"RELAY-G5T";"RELAY-G5T";"RELAY-G5T";"";"Z2776-ND";"";"";
"U$3";"RELAY-G5T";"RELAY-G5T";"RELAY-G5T";"";"Z2776-ND";"NO";"";
"U$4";"RELAY-G5T";"RELAY-G5T";"RELAY-G5T";"";"Z2776-ND";"NO";"";
"U$5";"AMP-RIBBON-SCKT-20";"AMP-RIBBON-SCKT-20";"AMP-RIBBON-CABLE-SOCKET-20";"";"AHE20H-ND";"NO";"A3CCB-2006G-ND";
"U$12";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"";"A114501-ND";"NO";"A98223-ND";
"U$13";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"";"A114501-ND";"NO";"A98223-ND";
"U$14";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"";"A114501-ND";"NO";"A98223-ND";
"U$15";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"";"A114501-ND";"NO";"A98223-ND";
"U$16";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"";"A114501-ND";"NO";"A98223-ND";
"U$17";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"";"A114501-ND";"NO";"A98223-ND";
"U$18";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"";"A114501-ND";"NO";"A98223-ND";
"U$19";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"";"A114501-ND";"NO";"A98223-ND";
"U$23";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"";"A114501-ND";"NO";"A98223-ND";
"U$24";"RELAY-G5T";"RELAY-G5T";"RELAY-G5T";"";"Z2776-ND";"NO";"";
"U$25";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"";"A114501-ND";"NO";"A98223-ND";
"U$26";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"TERM-BLOCK-PLUG-2";"";"A114501-ND";"NO";"A98223-ND";
