"Part";"Value";"Device";"Package";"Description";"DIGI-NO";"MAG-STOCK";"MATE";"MOUSER-NO";
"C1";"10nF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C2";"10pF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C3";"10pF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C4";"10uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C5";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C6";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C7";"10uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C8";"10uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C9";"10uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C10";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C11";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C12";"100nF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C13";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C14";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C15";"10uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C16";"1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C17";"1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C18";"10nF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C19";"10nF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C20";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C21";"1uF";"CAPACITOR1206";"C1206";"";"445-1423-1-ND";"NO";"";"";
"C22";"1uF";"CAPACITOR1206";"C1206";"";"445-1423-1-ND";"NO";"";"";
"C23";"2.2uF";"CAPACITOR1206";"C1206";"";"1276-2723-1-ND";"NO";"";"";
"C24";"2.2uF";"CAPACITOR1206";"C1206";"";"1276-2723-1-ND";"NO";"";"";
"C25";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C26";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C27";"47uF";"CAPACITOR1206";"C1206";"";"1276-3063-1-ND";"NO";"";"";
"C28";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C29";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C30";"47uF";"CAPACITOR1206";"C1206";"";"1276-3063-1-ND";"NO";"";"";
"C31";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
"C32";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";"";
