"Part";"Value";"Device";"Package";"Description";"DIGI-NO";"MAG-STOCK";"MATE";
"B1";"BS-7-ND";"BS-7-ND";"BS-7-BATTERY-HOLDER";"";"BS-7-ND";"";"";
"C1";"DNP";"POL-CAPACITOR5-10.5";"RCL_E5-10-5";"";"";"YES";"";
"C2";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";
"C4";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";
"C5";"330uF";"CPOL-USE2.5-6";"E2-5-6";"POLARIZED CAPACITOR American symbol";"P5125-ND";"";"";
"C6";"10uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C7";"10uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C8";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";
"C9";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";
"C10";"10pF";"CAPACITOR0805";"C0805";"";"";"YES";"";
"C11";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";
"C13";"10nF";"CAPACITOR0805";"C0805";"";"";"YES";"";
"C14";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C15";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";
"C16";"1uF";"C-USC0805";"C0805";"CAPACITOR American symbol";"";"";"";
"C17";"DNP";"POL-CAPACITOR5-10.5";"RCL_E5-10-5";"";"399-6657-1-ND";"NO";"";
"C18";"1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C20";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";
"C21";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C23";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C28";"0.1uF";"CAPACITOR0805";"C0805";"";"";"YES";"";
"C30";"10pF";"CAPACITOR0805";"C0805";"";"";"YES";"";
"C31";"10uF";"C-EUC1206";"C1206";"CAPACITOR European symbol";"1276-2876-1-ND";"NO";"";
"C32";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C33";"100pF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C34";"100pF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C35";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C36";"1nF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C37";"10uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C38";"10uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C39";"100uF";"POL-CAPACITOR2-5";"RCL_E2-5";"";"";"YES";"";
"C40";"10pF";"CAPACITOR0805";"C0805";"";"";"YES";"";
"C43";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C44";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C45";"10pF";"CAPACITOR0805";"C0805";"";"";"YES";"";
"C46";"10pF";"CAPACITOR0805";"C0805";"";"";"YES";"";
"C51";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C52";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C53";"470uF";"POL-CAPACITOR5-10.5";"RCL_E5-10-5";"";"399-6657-1-ND";"NO";"";
"C54";"10uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C55";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C56";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C57";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C58";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C59";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C60";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C61";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"C62";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR European symbol";"";"YES";"";
"CON1";"DEBUG_SERIAL";"VIDEO_PARTS_DEBUG_SERIAL";"VIDEO_PARTS_DEBUG_SERIAL";"";"";"YES";"";
"D1";"BAT41Z";"DIODE-SCHOTTKYSOD123";"SOD123@1";"Schottky Diode";"497-5558-1-ND";"";"";
"D2";"30V";"TVSSMA";"SMA@2";"2-terminal Transient Voltage Suppressor";"1SMA5936BT3GOSCT-ND";"";"";
"D3";"3.3V";"ZENERSOT-23";"SOT-23";"Zener Diode";"";"YES";"";
"D4";"B340A";"DIODE-SCHOTTKYSMA";"SMA";"Schottky Diode";"";"YES";"";
"D5";"B340A";"DIODE-SCHOTTKYSMA";"SMA@1";"Schottky Diode";"";"YES";"";
"D18";"IP4220";"IP4220";"SOT-23-6";"NXP 4-channel USB TVS 8kV";"568-3529-1-ND";"";"";
"D19";"3.3V";"ZENERSOT-23";"SOT-23";"Zener Diode";"";"YES";"";
"D20";"3.3V";"ZENERSOT-23";"SOT-23";"Zener Diode";"";"YES";"";
"D24";"3.3V";"ZENERSOT-23";"SOT-23";"Zener Diode";"";"YES";"";
"D25";"3.3V";"ZENERSOT-23";"SOT-23";"Zener Diode";"";"YES";"";
"D26";"3.3V";"ZENERSOT-23";"SOT-23";"Zener Diode";"";"YES";"";
"D27";"3.3V";"ZENERSOT-23";"SOT-23";"Zener Diode";"";"YES";"";
"D28";"3.3V";"ZENERSOT-23";"SOT-23";"Zener Diode";"";"YES";"";
"F1";"500mA";"FUSELITTELFUSE1812";"LITTELFUSE1812";"Fuse";"F1454CT-ND";"";"";
"F4";"1.1A";"FUSELITTELFUSE1812";"LITTELFUSE1812";"Fuse";"F1456CT-ND";"";"";
"IC1";"LTC3824";"LTC3824";"MSOP10-PPPP";"";"LTC3824EMSE#TRPBFCT-ND";"";"";
"IC2";"LD1117-3.3V";"VREGLD1117-XX";"DPAK";"";"";"YES";"";
"IC4";"FXMA108";"FXMA108";"20DQFN";"";"FXMA108BQXFSCT-ND";"";"";
"IC5";"SN65HVD72";"SN65HVD72";"SON-8";"";"296-35711-1-ND";"";"";
"IC6";"FXMA108";"FXMA108";"20DQFN";"";"FXMA108BQXFSCT-ND";"";"";
"IC7";"MT29F2G08";"MT29F8G08DAA";"TSOP48";"4Gb 8Gb and 16Gb x8 NAND Flash Memory";"557-1487-1-ND";"";"";
"IC8";"LM393";"LM293";"SO-08";"COMPARATOR";"296-1015-1-ND";"";"";
"J1";"AMP-RIBBON-SCKT-10";"AMP-RIBBON-SCKT-10";"AMP-RIBBON-CABLE-SOCKET-10";"";"AHE10H-ND";"";"A3CCB-1006G-ND";
"J5";"";"USB-787616";"USB";"AMP connector";"UE27AC54100-ND";"";"";
"JP2";"LCD_CONN";"PINHD-1X16";"1X16";"PIN HEADER";"";"";"";
"L1";"10uH";"L-USL2012C";"L2012C";"INDUCTOR American symbol";"587-2045-1-ND";"";"";
"L3";"22uH";"L-USSRR1280";"SRR1280";"INDUCTOR American symbol";"SRR1280-220MCT-ND";"";"";
"Q2";"2N7002";"2N7002";"SOT-23";"2N7002 N-channel Logic-Level MOSFET";"";"YES";"";
"Q3";"AO4441";"MOSFET-P-SO8";"SO8.MOSFETN";"P-Channel MOSFET SO8";"785-1196-1-ND";"";"";
"Q4";"12MHz";"CRYSTALHC49UP";"HC49UP";"CRYSTAL";"887-1268-1-ND";"";"";
"R1";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R2";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R3";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R4";"100k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R5";"100k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R6";"1k";"R-US_R0805";"R0805";"RESISTOR American symbol";"";"YES";"";
"R7";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R8";"0.02";"RESISTOR0805";"R0805";"";"P.02AQCT-ND";"YES";"";
"R9";"75";"RESISTOR0805";"R0805";"";"";"YES";"";
"R10";"1";"R-US_R0805";"R0805";"RESISTOR American symbol";"P1.0DCT-ND";"NO";"";
"R11";"100k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R12";"42.2k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R13";"10k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R14";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R15";"100k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R16";"100k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R17";"100k";"RESISTOR0805";"R0805";"";"";"YES";"";
"R18";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
"R19";"39";"RESISTOR0805";"R0805";"";"";"YES";"";
